,studentID,date,excused,period
0,374,2019-11-03,Unexcused,Science
1,2310,2019-12-31,Unexcused,Science
2,2345,2019-09-27,Unexcused,Mathematics
3,1571,2019-08-29,Excused,Science
4,1284,2019-10-11,Excused,Mathematics
5,1707,2020-02-12,Unexcused,Health/Physical Education
6,1148,2019-09-17,Excused,Social Studies
7,923,2020-01-31,Unexcused,Social Studies
8,459,2020-02-03,Excused,Mathematics
9,1246,2020-01-12,Excused,Social Studies
10,639,2019-12-28,Excused,Social Studies
11,1519,2019-12-25,Unexcused,Social Studies
12,303,2019-10-20,Unexcused,Social Studies
13,1758,2019-12-09,Unexcused,Social Studies
14,2007,2020-02-05,Excused,Social Studies
15,1840,2020-04-03,Unexcused,Social Studies
16,2013,2020-05-02,Unexcused,Science
17,1985,2020-04-08,Excused,Social Studies
18,1549,2019-10-28,Excused,Social Studies
19,422,2019-12-24,Excused,Health/Physical Education
20,2456,2019-10-15,Unexcused,Language Arts
21,1196,2019-10-17,Excused,Health/Physical Education
22,760,2020-02-19,Unexcused,Science
23,974,2020-04-18,Unexcused,Social Studies
24,887,2019-12-18,Unexcused,Mathematics
25,2183,2019-12-07,Unexcused,Mathematics
26,1494,2020-05-04,Unexcused,Language Arts
27,351,2020-02-13,Unexcused,Mathematics
28,1937,2019-12-28,Unexcused,Science
29,59,2020-05-03,Unexcused,Health/Physical Education
30,282,2020-02-25,Unexcused,Language Arts
31,171,2020-04-07,Excused,Science
32,128,2020-04-09,Excused,Science
33,2007,2020-01-31,Excused,Social Studies
34,264,2020-03-17,Unexcused,Mathematics
35,1475,2019-09-30,Unexcused,Health/Physical Education
36,1332,2019-10-13,Excused,Science
37,1464,2019-12-19,Unexcused,Health/Physical Education
38,460,2019-12-21,Unexcused,Mathematics
39,1931,2020-02-15,Unexcused,Mathematics
40,1142,2020-04-06,Excused,Social Studies
41,131,2020-04-11,Unexcused,Mathematics
42,144,2020-01-08,Excused,Science
43,952,2020-01-15,Unexcused,Language Arts
44,978,2019-10-30,Excused,Health/Physical Education
45,1275,2019-09-21,Unexcused,Health/Physical Education
46,1468,2020-04-11,Excused,Science
47,139,2019-09-24,Excused,Science
48,90,2019-09-30,Excused,Mathematics
49,148,2020-01-30,Excused,Social Studies
50,1230,2020-04-22,Excused,Social Studies
51,1729,2020-04-21,Excused,Science
52,2409,2019-09-17,Excused,Science
53,1991,2020-04-15,Unexcused,Science
54,437,2019-10-03,Excused,Social Studies
55,2462,2019-10-01,Excused,Social Studies
56,1511,2019-10-24,Excused,Mathematics
57,754,2019-12-11,Excused,Mathematics
58,38,2019-11-26,Excused,Social Studies
59,175,2020-03-23,Unexcused,Health/Physical Education
60,863,2019-10-17,Excused,Language Arts
61,1931,2020-01-15,Excused,Health/Physical Education
62,137,2019-09-25,Excused,Language Arts
63,2188,2019-08-29,Excused,Social Studies
64,459,2020-01-03,Unexcused,Mathematics
65,1636,2019-11-13,Unexcused,Language Arts
66,1324,2019-09-10,Unexcused,Science
67,1821,2019-10-02,Excused,Science
68,1252,2019-12-24,Unexcused,Health/Physical Education
69,402,2020-01-16,Unexcused,Mathematics
70,1002,2019-11-20,Unexcused,Social Studies
71,1292,2020-02-08,Excused,Science
72,2120,2020-02-14,Unexcused,Language Arts
73,1039,2020-02-14,Unexcused,Social Studies
74,2215,2020-04-05,Unexcused,Health/Physical Education
75,735,2019-11-25,Unexcused,Health/Physical Education
76,523,2020-03-05,Unexcused,Health/Physical Education
77,133,2019-10-27,Unexcused,Social Studies
78,39,2019-10-16,Unexcused,Social Studies
79,2175,2020-01-09,Unexcused,Science
80,2074,2019-12-18,Excused,Mathematics
81,971,2019-10-08,Unexcused,Health/Physical Education
82,1051,2020-03-29,Excused,Mathematics
83,367,2019-09-20,Excused,Mathematics
84,1927,2019-12-02,Excused,Science
85,2470,2019-09-13,Excused,Language Arts
86,1179,2020-02-08,Excused,Health/Physical Education
87,1044,2019-09-17,Excused,Mathematics
88,690,2020-01-29,Excused,Mathematics
89,1461,2020-04-24,Excused,Science
90,1059,2020-01-24,Unexcused,Mathematics
91,1084,2019-09-29,Unexcused,Language Arts
92,2468,2019-09-15,Unexcused,Mathematics
93,2116,2020-04-15,Excused,Mathematics
94,2288,2020-01-02,Unexcused,Language Arts
95,1249,2020-01-02,Unexcused,Science
96,1636,2019-12-08,Unexcused,Health/Physical Education
97,108,2020-01-20,Excused,Science
98,840,2020-03-16,Excused,Mathematics
99,1567,2019-09-22,Excused,Social Studies
100,1423,2020-04-16,Unexcused,Health/Physical Education
101,719,2020-04-06,Excused,Science
102,2333,2020-03-13,Excused,Social Studies
103,296,2019-11-12,Unexcused,Social Studies
104,389,2020-04-03,Excused,Health/Physical Education
105,210,2019-11-28,Excused,Science
106,1625,2019-11-23,Unexcused,Social Studies
